"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"pgaptmp_000246",15908.9719748716,-0.214579010074976,0.118478665089222,-1.81111941051483,0.0701223694841061,0.090340435364221
"pgaptmp_000247",13269.6540285312,-0.282352557129902,0.117998747599359,-2.3928436773632,0.0167183624084975,0.0230124796170221
"pgaptmp_000248",934.172151906415,-2.04929035814228,0.15640109153535,-13.1027880817513,3.17380844263784e-39,1.58562617765074e-38
"pgaptmp_000249",46.670155698778,-0.0839905605390885,0.503712540887299,-0.166743040368099,0.867572238265917,0.892757498154753
"pgaptmp_000250",20570.5807086663,-1.02813247740925,0.0809213966916481,-12.7053229361198,5.5240921108464e-37,2.61253759041554e-36
"pgaptmp_000251",4213.61411392934,-2.03487719518458,0.128681502774968,-15.8132843594707,2.51980758198697e-56,1.68077487816407e-55
"glpT",4799.30663972667,-2.47552419015524,0.166231951407942,-14.8919877868736,3.71556378075019e-50,2.24867128324426e-49
"pgaptmp_000253",151.259593571843,0.487370262607488,0.292949170785799,1.6636683466288,0.0961787252178156,0.121968386800923
"hpaB",2280.38103524836,-3.53954583293226,0.203591545866532,-17.3855246192426,1.06210976336223e-67,8.23577612340464e-67
"pgaptmp_000255",1864.80120615657,-3.98800715852342,0.441925190166709,-9.02416799779846,1.81065992620734e-19,5.461325968674e-19
"pgaptmp_000256",104299.151503586,-5.40961052971006,0.456861075128717,-11.8408216943979,2.40089096615553e-32,1.02950647189296e-31
"pgaptmp_000257",982.221993749655,-0.979578878854696,0.145061571052686,-6.75284895748796,1.44969842548798e-11,3.37658168940317e-11
"pgaptmp_000258",1005.37965991865,-2.24327996140287,0.202375510608226,-11.0847402171382,1.48781666599101e-28,5.81075931880223e-28
"pgaptmp_000259",368.948964674017,-1.26870258230213,0.228218798807952,-5.55915020554356,2.71091321543235e-08,5.46588244194973e-08
"pgaptmp_000260",2127.575729409,-0.330529650152068,0.113288471683399,-2.9175929840044,0.0035274445881967,0.00522241398459352
"purT",3922.55034537651,-0.102069203117362,0.100080828562255,-1.01986768678548,0.307791216361598,0.360513737881099
"pssA",5342.97110665791,-2.51962638635792,0.0980511598267824,-25.6970584622263,1.26081093628642e-145,2.18266897900375e-144
"pgaptmp_000263",4679.25198351094,-1.74707942231193,0.0918541251284226,-19.020152005904,1.16146310114814e-80,1.06739892900577e-79
"pgaptmp_000264",6339.20046294657,-1.61945838106759,0.0843687830333402,-19.1949951491847,4.07520639264621e-82,3.8595211688115e-81
"pgaptmp_000265",511.276032133027,-0.830040436419317,0.213350772712898,-3.89049650894064,0.000100039316303,0.000164900945650915
"pgaptmp_000266",16004.1729789582,-2.14756141703552,0.0889401387565008,-24.1461442163374,8.19654571912269e-129,1.20583174571441e-127
"gltP",1020.94445253619,1.57557791814029,0.172325154265185,9.14305241657115,6.07139473633957e-20,1.86603891070651e-19
"pgaptmp_000268",7431.4126445315,-0.288272530405668,0.0942009713641859,-3.06018638906802,0.00221199284250666,0.00333051673131464
"pgaptmp_000269",2725.20939124176,-0.0921975335661674,0.105754721562673,-0.871805364373527,0.383314567634769,0.438075566141585
"mmuM",1839.5956988976,0.0132306400595508,0.143025361907419,0.0925055520440847,0.926296380244126,0.939421015604533
